bot_message,reply_1,reply_2,reply_3,reply_4,reply_5,topic1,topic2,topic3
What do you want to play with?,I like the doll.,"The doll, please.","A teddy, please.",Let's play with the doll.,I want the doll.,3,10,14
How many do you see?,There are one.,One.,I see one.,One toys.,Four.,2,27,15
Who is this?,My mom.,It is my mom.,This is my mom.,This is Luca.,My sister.,1,13,22
Where are you?,In the farm.,I am at school.,At the home.,I am home.,I am at the home.,2,15,21
What can you do?,I can run.,I can eat.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you!,Thank you very much!,Thanks!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Please.,Here you are.,Okay.,Yes.,"Yes, please.",7,11,22
Hello!,Hello!,Hi!,"Hi, friend!","Hello, Benny!",Hi there!,1,14,21
How are you?,I am happy.,I am okay.,I am fine.,I am good.,I am great!,2,15,21
What is your name?,I am Noor.,I am Hana.,My name is Hana.,I'm Noor.,My name is Noor.,3,11,22
Nice to meet you!,Thank you!,Nice to meet you!,Hi!,You too!,Nice to meet you too!,1,12,23
Say goodbye!,Good night!,Bye!,Bye-bye!,See you!,Goodbye!,1,14,21
What color is this?,I see orange.,Orange.,It is orange.,It is green.,This is orange.,3,10,14
What animal do you see?,"Look, a swan!",A swan.,I see a swan.,It is a swan.,A fish.,5,25,14
Do you like noodle?,"Yes, I like noodle.","No, I don't like noodle.",I love noodle!,Yummy!,Yes!,1,17,11
What do you want to play with?,"A teddy, please.","The doll, please.",I want the doll.,Let's play with the doll.,I like the doll.,3,10,14
How many do you see?,I see one.,One.,There are one.,Four.,One toys.,2,27,15
Who is this?,This is my mom.,It is my mom.,My mom.,My sister.,This is Lila.,1,13,22
Where are you?,At the home.,I am at the home.,I am home.,In the farm.,I am at school.,2,15,21
What can you do?,I can play.,I can run.,I can eat.,I can jump.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thanks!,Thank you very much!,Thanks a lot!,Thank you!,2,15,17
"Can I have some juice, please?","Yes, please.",Okay.,Yes.,Please.,Here you are.,7,11,22
Hello!,"Hello, Benny!",Hello!,Hi!,"Hi, friend!",Hi there!,1,12,23
How are you?,I am good.,I am fine.,I am okay.,I am great!,I am happy.,1,14,21
What is your name?,My name is Sam.,My name is Ken.,I am Sam.,I am Ken.,I'm Ken.,2,15,21
Nice to meet you!,Nice to meet you!,You too!,Thank you!,Hi!,Nice to meet you too!,3,11,22
Say goodbye!,Bye-bye!,Bye!,Goodbye!,Good night!,See you!,1,12,23
What color is this?,It is green.,This is brown.,Brown.,I see brown.,It is brown.,3,10,14
What animal do you see?,It is a swan.,A fish.,A swan.,I see a swan.,"Look, a swan!",5,25,14
Do you like noodle?,Yes!,Yummy!,"No, I don't like noodle.",I love noodle!,"Yes, I like noodle.",1,17,11
What do you want to play with?,"The doll, please.","A teddy, please.",I like the doll.,I want the doll.,Let's play with the doll.,3,10,14
How many do you see?,Four.,One toys.,One.,There are one.,I see one.,2,27,15
Who is this?,My mom.,This is my mom.,It is my mom.,My sister.,This is Nico.,1,13,22
Where are you?,I am home.,At the home.,I am at school.,I am at the home.,In the farm.,2,15,21
What can you do?,I can run.,I can play.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you very much!,Thanks a lot!,Thank you!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Okay.,Yes.,Here you are.,"Yes, please.",Please.,7,11,22
Hello!,Hello!,Hi there!,Hi!,"Hello, Benny!","Hi, friend!",3,11,22
How are you?,I am good.,I am happy.,I am fine.,I am okay.,I am great!,1,12,23
What is your name?,I am Lara.,My name is Lara.,I'm Lara.,I am Maya.,My name is Maya.,1,14,21
Nice to meet you!,Thank you!,Nice to meet you too!,Nice to meet you!,Hi!,You too!,2,15,21
Say goodbye!,Good night!,See you!,Bye!,Bye-bye!,Goodbye!,3,11,22
What color is this?,It is green.,It is gold.,I see gold.,Gold.,This is gold.,3,10,14
What animal do you see?,It is a swan.,"Look, a swan!",I see a swan.,A swan.,A fish.,5,25,14
Do you like noodle?,Yummy!,"No, I don't like noodle.",I love noodle!,Yes!,"Yes, I like noodle.",1,17,11
What do you want to play with?,"A teddy, please.","The doll, please.",Let's play with the doll.,I want the doll.,I like the doll.,3,10,14
How many do you see?,One toys.,There are one.,One.,Four.,I see one.,2,27,15
Who is this?,My sister.,My mom.,This is Ana.,It is my mom.,This is my mom.,1,13,22
Where are you?,At the home.,I am home.,In the farm.,I am at the home.,I am at school.,2,15,21
What can you do?,I can play.,I can run.,I can eat.,I can jump.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you!,Thanks a lot!,Thank you very much!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Here you are.,"Yes, please.",Please.,Yes.,Okay.,7,11,22
Hello!,Hello!,Hi!,Hi there!,"Hi, friend!","Hello, Benny!",2,15,21
How are you?,I am good.,I am great!,I am happy.,I am okay.,I am fine.,3,11,22
What is your name?,I'm Sam.,My name is Nico.,I am Sam.,My name is Sam.,I am Nico.,1,12,23
Nice to meet you!,Nice to meet you too!,Thank you!,Hi!,You too!,Nice to meet you!,1,14,21
Say goodbye!,Goodbye!,See you!,Bye-bye!,Bye!,Good night!,2,15,21
What color is this?,It is green.,This is green.,Green.,I see green.,Okay.,3,10,14
What animal do you see?,I see a wolf.,A fish.,It is a wolf.,"Look, a wolf!",A wolf.,5,25,14
Do you like noodle?,Yummy!,"No, I don't like noodle.",I love noodle!,Yes!,"Yes, I like noodle.",1,17,11
What do you want to play with?,Let's play with the doll.,I like the doll.,I want the doll.,"A teddy, please.","The doll, please.",3,10,14
How many do you see?,One.,There are one.,Four.,I see one.,One toys.,2,27,15
Who is this?,This is Luca.,It is my mom.,My mom.,My sister.,This is my mom.,1,13,22
Where are you?,I am home.,At the home.,I am at the home.,In the farm.,I am at school.,2,15,21
What can you do?,I can jump.,I can eat.,I can play.,I can run.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,"Thank you, friend!",Thank you!,Thanks!,Thank you very much!,2,15,17
"Can I have some juice, please?",Here you are.,"Yes, please.",Yes.,Okay.,Please.,7,11,22
Hello!,Hi there!,"Hello, Benny!",Hello!,"Hi, friend!",Hi!,1,14,21
How are you?,I am great!,I am happy.,I am fine.,I am good.,I am okay.,2,15,21
What is your name?,I am Mia.,I'm Noor.,My name is Mia.,My name is Noor.,I am Noor.,3,11,22
Nice to meet you!,You too!,Nice to meet you too!,Thank you!,Hi!,Nice to meet you!,1,12,23
Say goodbye!,Bye!,Goodbye!,Good night!,See you!,Bye-bye!,1,14,21
What color is this?,This is pink.,It is pink.,Pink.,It is green.,I see pink.,3,10,14
What animal do you see?,"Look, a wolf!",A fish.,It is a wolf.,I see a wolf.,A wolf.,5,25,14
Do you like noodle?,"No, I don't like noodle.",Yes!,I love noodle!,"Yes, I like noodle.",Yummy!,1,17,11
What do you want to play with?,I like the doll.,I want the doll.,"A teddy, please.","The doll, please.",Let's play with the doll.,3,10,14
How many do you see?,One toys.,One.,I see one.,Four.,There are one.,2,27,15
Who is this?,It is my mom.,This is Lila.,This is my mom.,My sister.,My mom.,1,13,22
Where are you?,I am at school.,In the farm.,I am home.,At the home.,I am at the home.,2,15,21
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thank you very much!,Thank you!,Thanks!,"Thank you, friend!",2,15,17
"Can I have some juice, please?","Yes, please.",Yes.,Please.,Here you are.,Okay.,7,11,22
Hello!,"Hello, Benny!",Hi!,Hello!,Hi there!,"Hi, friend!",1,12,23
How are you?,I am good.,I am fine.,I am great!,I am okay.,I am happy.,1,14,21
What is your name?,I am Lila.,I am Ken.,My name is Ken.,I'm Ken.,My name is Lila.,2,15,21
Nice to meet you!,Hi!,You too!,Nice to meet you!,Thank you!,Nice to meet you too!,3,11,22
Say goodbye!,Bye!,Good night!,See you!,Goodbye!,Bye-bye!,1,12,23
What color is this?,Gray.,It is gray.,It is green.,I see gray.,This is gray.,3,10,14
What animal do you see?,It is a wolf.,I see a wolf.,A wolf.,"Look, a wolf!",A fish.,5,25,14
Do you like noodle?,Yes!,"No, I don't like noodle.","Yes, I like noodle.",Yummy!,I love noodle!,1,17,11
What do you want to play with?,I want the doll.,I like the doll.,"The doll, please.",Let's play with the doll.,"A teddy, please.",3,10,14
How many do you see?,Four.,One toys.,One.,There are one.,I see one.,2,27,15
Who is this?,This is my mom.,It is my mom.,This is Nico.,My mom.,My sister.,1,13,22
Where are you?,I am at school.,At the home.,I am home.,I am at the home.,In the farm.,2,15,21
What can you do?,I can eat.,I can run.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you very much!,Thank you!,Thanks a lot!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Here you are.,Okay.,Please.,"Yes, please.",Yes.,7,11,22
Hello!,Hi there!,Hi!,Hello!,"Hi, friend!","Hello, Benny!",3,11,22
How are you?,I am great!,I am fine.,I am okay.,I am good.,I am happy.,1,12,23
What is your name?,My name is Omar.,My name is Lara.,I am Lara.,I am Omar.,I'm Lara.,1,14,21
Nice to meet you!,You too!,Thank you!,Nice to meet you!,Nice to meet you too!,Hi!,2,15,21
Say goodbye!,See you!,Bye-bye!,Goodbye!,Good night!,Bye!,3,11,22
What color is this?,This is blue.,It is green.,It is blue.,Blue.,I see blue.,3,10,14
What animal do you see?,"Look, a deer!",It is a deer.,I see a deer.,A deer.,A fish.,5,25,14
Do you like noodle?,Yes!,Yummy!,"No, I don't like noodle.",I love noodle!,"Yes, I like noodle.",1,17,11
What do you want to play with?,"The doll, please.","A teddy, please.",I want the doll.,I like the doll.,Let's play with the doll.,3,10,14
How many do you see?,One.,I see one.,Four.,One toys.,There are one.,2,27,15
Who is this?,It is my mom.,This is my mom.,My mom.,My sister.,This is Ana.,1,13,22
Where are you?,I am at the home.,I am at school.,I am home.,At the home.,In the farm.,2,15,21
What can you do?,I can play.,I can run.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thanks!,"Thank you, friend!",Thank you!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Here you are.,"Yes, please.",Yes.,Please.,Okay.,7,11,22
Hello!,Hi!,Hello!,"Hello, Benny!","Hi, friend!",Hi there!,2,15,21
How are you?,I am okay.,I am fine.,I am happy.,I am good.,I am great!,3,11,22
What is your name?,I am Sam.,I am Zoe.,My name is Zoe.,My name is Sam.,I'm Sam.,1,12,23
Nice to meet you!,You too!,Nice to meet you too!,Hi!,Nice to meet you!,Thank you!,1,14,21
Say goodbye!,Bye!,See you!,Goodbye!,Bye-bye!,Good night!,2,15,21
What color is this?,It is purple.,This is purple.,Purple.,I see purple.,It is green.,3,10,14
What animal do you see?,I see a deer.,A fish.,"Look, a deer!",It is a deer.,A deer.,5,25,14
Do you like noodle?,Yummy!,I love noodle!,"Yes, I like noodle.","No, I don't like noodle.",Yes!,1,17,11
What do you want to play with?,"The doll, please.","A teddy, please.",I want the doll.,Let's play with the doll.,I like the doll.,3,10,14
How many do you see?,I see one.,One.,There are one.,Four.,One toys.,2,27,15
Who is this?,My sister.,This is my mom.,This is Luca.,My mom.,It is my mom.,1,13,22
Where are you?,I am home.,At the home.,In the farm.,I am at school.,I am at the home.,2,15,21
What can you do?,I can run.,I can jump.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you very much!,"Thank you, friend!",Thanks!,Thanks a lot!,Thank you!,2,15,17
"Can I have some juice, please?",Here you are.,Okay.,"Yes, please.",Please.,Yes.,7,11,22
Hello!,"Hi, friend!",Hi!,"Hello, Benny!",Hi there!,Hello!,1,14,21
How are you?,I am good.,I am great!,I am okay.,I am fine.,I am happy.,2,15,21
What is your name?,I am Noor.,My name is Sara.,My name is Noor.,I'm Noor.,I am Sara.,3,11,22
Nice to meet you!,Nice to meet you too!,You too!,Nice to meet you!,Thank you!,Hi!,1,12,23
Say goodbye!,Goodbye!,Bye-bye!,Good night!,Bye!,See you!,1,14,21
What color is this?,This is white.,It is green.,White.,It is white.,I see white.,3,10,14
What animal do you see?,A deer.,I see a deer.,It is a deer.,A fish.,"Look, a deer!",5,25,14
Do you like noodle?,"Yes, I like noodle.",I love noodle!,"No, I don't like noodle.",Yes!,Yummy!,1,17,11
What do you want to play with?,I like the doll.,"The doll, please.","A teddy, please.",Let's play with the doll.,I want the doll.,3,10,14
How many do you see?,There are one.,I see one.,Four.,One toys.,One.,2,27,15
Who is this?,My mom.,This is my mom.,My sister.,It is my mom.,This is Lila.,1,13,22
Where are you?,I am at the home.,I am home.,At the home.,I am at school.,In the farm.,2,15,21
What can you do?,I can run.,I can eat.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thanks!,"Thank you, friend!",Thank you!,Thank you very much!,2,15,17
"Can I have some juice, please?",Here you are.,Yes.,Okay.,Please.,"Yes, please.",7,11,22
Hello!,Hi there!,"Hello, Benny!",Hi!,Hello!,"Hi, friend!",1,12,23
How are you?,I am happy.,I am fine.,I am good.,I am great!,I am okay.,1,14,21
What is your name?,I'm Ken.,My name is Ken.,I am Ben.,My name is Ben.,I am Ken.,2,15,21
Nice to meet you!,Nice to meet you!,Thank you!,Nice to meet you too!,You too!,Hi!,3,11,22
Say goodbye!,Bye-bye!,Bye!,See you!,Goodbye!,Good night!,1,12,23
What color is this?,Red.,It is green.,It is red.,This is red.,I see red.,3,10,14
What animal do you see?,A fish.,"Look, a camel!",I see a camel.,It is a camel.,A camel.,5,25,14
Do you like noodle?,I love noodle!,Yummy!,"No, I don't like noodle.","Yes, I like noodle.",Yes!,1,17,11
What do you want to play with?,I like the doll.,"A teddy, please.",Let's play with the doll.,I want the doll.,"The doll, please.",3,10,14
How many do you see?,I see one.,Four.,One.,One toys.,There are one.,2,27,15
Who is this?,It is my mom.,This is Nico.,My sister.,This is my mom.,My mom.,1,13,22
Where are you?,I am at school.,At the home.,I am at the home.,I am home.,In the farm.,2,15,21
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks!,"Thank you, friend!",Thank you very much!,Thanks a lot!,Thank you!,2,15,17
"Can I have some juice, please?",Yes.,Please.,"Yes, please.",Okay.,Here you are.,7,11,22
Hello!,"Hi, friend!","Hello, Benny!",Hi there!,Hi!,Hello!,3,11,22
How are you?,I am great!,I am happy.,I am fine.,I am okay.,I am good.,1,12,23
What is your name?,My name is Lara.,I am Noor.,I am Lara.,My name is Noor.,I'm Lara.,1,14,21
Nice to meet you!,Nice to meet you too!,Nice to meet you!,You too!,Thank you!,Hi!,2,15,21
Say goodbye!,Bye!,See you!,Goodbye!,Good night!,Bye-bye!,3,11,22
What color is this?,I see orange.,It is orange.,This is orange.,It is green.,Orange.,3,10,14
What animal do you see?,A camel.,A fish.,"Look, a camel!",It is a camel.,I see a camel.,5,25,14
Do you like noodle?,Yes!,Yummy!,"No, I don't like noodle.",I love noodle!,"Yes, I like noodle.",1,17,11
What do you want to play with?,I want the doll.,Let's play with the doll.,"A teddy, please.",I like the doll.,"The doll, please.",3,10,14
How many do you see?,There are one.,I see one.,Four.,One.,One toys.,2,27,15
Who is this?,This is my mom.,This is Ana.,My mom.,It is my mom.,My sister.,1,13,22
Where are you?,I am home.,At the home.,I am at school.,I am at the home.,In the farm.,2,15,21
What can you do?,I can run.,I can play.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you!,Thanks!,Thank you very much!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Please.,"Yes, please.",Okay.,Here you are.,Yes.,7,11,22
Hello!,Hello!,Hi!,Hi there!,"Hi, friend!","Hello, Benny!",2,15,21
How are you?,I am good.,I am great!,I am okay.,I am fine.,I am happy.,3,11,22
What is your name?,I'm Sam.,I am Eli.,My name is Sam.,My name is Eli.,I am Sam.,1,12,23
Nice to meet you!,Nice to meet you!,You too!,Hi!,Nice to meet you too!,Thank you!,1,14,21
Say goodbye!,Good night!,Goodbye!,Bye-bye!,Bye!,See you!,2,15,21
What color is this?,Black.,It is green.,I see black.,This is black.,It is black.,3,10,14
What animal do you see?,A fish.,I see a camel.,"Look, a camel!",It is a camel.,A camel.,5,25,14
Do you like noodle?,I love noodle!,"Yes, I like noodle.",Yes!,Yummy!,"No, I don't like noodle.",1,17,11
What do you want to play with?,Let's play with the doll.,"A teddy, please.",I like the doll.,I want the doll.,"The doll, please.",3,10,14
How many do you see?,I see one.,Four.,There are one.,One.,One toys.,2,27,15
Who is this?,My mom.,It is my mom.,This is my mom.,This is Luca.,My sister.,1,13,22
Where are you?,In the farm.,At the home.,I am home.,I am at school.,I am at the home.,2,15,21
What can you do?,I can eat.,I can run.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thank you!,Thanks a lot!,Thanks!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Please.,"Yes, please.",Here you are.,Okay.,Yes.,7,11,22
Hello!,Hi!,Hi there!,"Hello, Benny!",Hello!,"Hi, friend!",1,14,21
How are you?,I am great!,I am good.,I am okay.,I am fine.,I am happy.,2,15,21
What is your name?,I'm Noor.,I am Noor.,I am Sam.,My name is Sam.,My name is Noor.,3,11,22
Nice to meet you!,Thank you!,You too!,Nice to meet you!,Hi!,Nice to meet you too!,1,12,23
Say goodbye!,Good night!,Bye!,Goodbye!,Bye-bye!,See you!,1,14,21
What color is this?,It is green.,This is gold.,It is gold.,Gold.,I see gold.,3,10,14
What animal do you see?,"Look, a seal!",A seal.,It is a seal.,I see a seal.,A fish.,5,25,14
Do you like noodle?,"Yes, I like noodle.","No, I don't like noodle.",Yummy!,I love noodle!,Yes!,1,17,11
What do you want to play with?,I like the doll.,I want the doll.,"A teddy, please.",Let's play with the doll.,"The doll, please.",3,10,14
How many do you see?,One toys.,There are one.,One.,Four.,I see one.,2,27,15
Who is this?,This is my mom.,This is Lila.,My mom.,It is my mom.,My sister.,1,13,22
Where are you?,I am at school.,At the home.,I am home.,In the farm.,I am at the home.,2,15,21
What can you do?,I can play.,I can run.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks!,"Thank you, friend!",Thank you!,Thank you very much!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Yes.,Okay.,Here you are.,"Yes, please.",Please.,7,11,22
Hello!,Hello!,Hi!,Hi there!,"Hi, friend!","Hello, Benny!",1,12,23
How are you?,I am great!,I am happy.,I am okay.,I am fine.,I am good.,1,14,21
What is your name?,My name is Ken.,My name is Maya.,I am Maya.,I'm Ken.,I am Ken.,2,15,21
Nice to meet you!,Nice to meet you!,Hi!,You too!,Thank you!,Nice to meet you too!,3,11,22
Say goodbye!,Good night!,Bye-bye!,Goodbye!,See you!,Bye!,1,12,23
What color is this?,Green.,This is green.,I see green.,It is green.,Okay.,3,10,14
What animal do you see?,A fish.,A seal.,It is a seal.,I see a seal.,"Look, a seal!",5,25,14
Do you like noodle?,I love noodle!,Yummy!,"Yes, I like noodle.",Yes!,"No, I don't like noodle.",1,17,11
What do you want to play with?,I like the doll.,"A teddy, please.",Let's play with the doll.,I want the doll.,"The doll, please.",3,10,14
How many do you see?,I see one.,One toys.,One.,Four.,There are one.,2,27,15
Who is this?,This is my mom.,This is Nico.,My sister.,My mom.,It is my mom.,1,13,22
Where are you?,At the home.,In the farm.,I am home.,I am at school.,I am at the home.,2,15,21
What can you do?,I can play.,I can run.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you!,Thanks a lot!,"Thank you, friend!",Thank you very much!,2,15,17
"Can I have some juice, please?",Yes.,Okay.,Here you are.,Please.,"Yes, please.",7,11,22
Hello!,"Hi, friend!","Hello, Benny!",Hi there!,Hello!,Hi!,3,11,22
How are you?,I am great!,I am okay.,I am good.,I am fine.,I am happy.,1,12,23
What is your name?,I'm Lara.,I am Nico.,My name is Nico.,My name is Lara.,I am Lara.,1,14,21
Nice to meet you!,Nice to meet you too!,Thank you!,You too!,Hi!,Nice to meet you!,2,15,21
Say goodbye!,Bye-bye!,Bye!,See you!,Good night!,Goodbye!,3,11,22
What color is this?,I see brown.,It is green.,Brown.,It is brown.,This is brown.,3,10,14
What animal do you see?,It is a seal.,I see a seal.,"Look, a seal!",A fish.,A seal.,5,25,14
Do you like noodle?,Yummy!,I love noodle!,Yes!,"Yes, I like noodle.","No, I don't like noodle.",1,17,11
What do you want to play with?,"The doll, please.",I like the doll.,Let's play with the doll.,I want the doll.,"A teddy, please.",3,10,14
How many do you see?,One toys.,There are one.,I see one.,Four.,One.,2,27,15
Who is this?,This is my mom.,This is Ana.,My sister.,It is my mom.,My mom.,1,13,22
Where are you?,At the home.,I am home.,I am at school.,I am at the home.,In the farm.,2,15,21
What can you do?,I can run.,I can eat.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,Thanks!,Thanks a lot!,Thank you!,Thank you very much!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Yes.,Okay.,Here you are.,Please.,"Yes, please.",7,11,22
Hello!,Hi!,Hello!,"Hi, friend!","Hello, Benny!",Hi there!,2,15,21
How are you?,I am fine.,I am great!,I am happy.,I am good.,I am okay.,3,11,22
What is your name?,My name is Leo.,My name is Sam.,I am Leo.,I'm Sam.,I am Sam.,1,12,23
Nice to meet you!,Hi!,Nice to meet you!,Thank you!,Nice to meet you too!,You too!,1,14,21
Say goodbye!,Good night!,Bye!,See you!,Bye-bye!,Goodbye!,2,15,21
What color is this?,It is green.,It is gray.,Gray.,I see gray.,This is gray.,3,10,14
What animal do you see?,It is a seal.,I see a seal.,A fish.,"Look, a seal!",A seal.,5,25,14
Do you like noodle?,Yes!,I love noodle!,"No, I don't like noodle.","Yes, I like noodle.",Yummy!,1,17,11
What do you want to play with?,"The doll, please.",I want the doll.,Let's play with the doll.,"A teddy, please.",I like the doll.,3,10,14
How many do you see?,I see one.,Four.,One toys.,One.,There are one.,2,27,15
Who is this?,My sister.,This is my mom.,My mom.,It is my mom.,This is Luca.,1,13,22
Where are you?,I am home.,In the farm.,I am at the home.,I am at school.,At the home.,2,15,21
What can you do?,I can play.,I can run.,I can eat.,I can jump.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,"Thank you, friend!",Thank you very much!,Thank you!,Thanks!,2,15,17
"Can I have some juice, please?",Please.,Okay.,"Yes, please.",Yes.,Here you are.,7,11,22
Hello!,"Hi, friend!","Hello, Benny!",Hello!,Hi there!,Hi!,1,14,21
How are you?,I am great!,I am happy.,I am good.,I am okay.,I am fine.,2,15,21
What is your name?,I am Noor.,My name is Lila.,I'm Noor.,I am Lila.,My name is Noor.,3,11,22
Nice to meet you!,Nice to meet you!,You too!,Nice to meet you too!,Hi!,Thank you!,1,12,23
Say goodbye!,Good night!,Bye-bye!,See you!,Bye!,Goodbye!,1,14,21
What color is this?,Yellow.,I see yellow.,It is green.,It is yellow.,This is yellow.,3,10,14
What animal do you see?,It is a crab.,A fish.,"Look, a crab!",I see a crab.,A crab.,5,25,14
Do you like noodle?,Yes!,Yummy!,I love noodle!,"No, I don't like noodle.","Yes, I like noodle.",1,17,11
What do you want to play with?,I want the doll.,"The doll, please.","A teddy, please.",Let's play with the doll.,I like the doll.,3,10,14
How many do you see?,One.,One toys.,There are one.,Four.,I see one.,2,27,15
Who is this?,It is my mom.,This is my mom.,My sister.,My mom.,This is Lila.,1,13,22
Where are you?,I am at the home.,I am home.,In the farm.,At the home.,I am at school.,2,15,21
What can you do?,I can run.,I can eat.,I can play.,I can jump.,Okay.,4,16,15
Please say thank you.,Thank you!,"Thank you, friend!",Thanks!,Thanks a lot!,Thank you very much!,2,15,17
"Can I have some juice, please?",Here you are.,"Yes, please.",Please.,Yes.,Okay.,7,11,22
Hello!,Hi there!,Hello!,Hi!,"Hello, Benny!","Hi, friend!",1,12,23
How are you?,I am happy.,I am okay.,I am good.,I am fine.,I am great!,1,14,21
What is your name?,I am Ken.,My name is Omar.,I am Omar.,My name is Ken.,I'm Ken.,2,15,21
Nice to meet you!,Nice to meet you too!,Nice to meet you!,You too!,Thank you!,Hi!,3,11,22
Say goodbye!,Bye-bye!,See you!,Good night!,Goodbye!,Bye!,1,12,23
What color is this?,I see pink.,Pink.,This is pink.,It is green.,It is pink.,3,10,14
What animal do you see?,It is a crab.,A crab.,I see a crab.,"Look, a crab!",A fish.,5,25,14
Do you like noodle?,Yummy!,Yes!,I love noodle!,"Yes, I like noodle.","No, I don't like noodle.",1,17,11
What do you want to play with?,I like the doll.,I want the doll.,"The doll, please.",Let's play with the doll.,"A teddy, please.",3,10,14
How many do you see?,I see one.,Four.,There are one.,One.,One toys.,2,27,15
Who is this?,This is my mom.,This is Nico.,It is my mom.,My mom.,My sister.,1,13,22
Where are you?,I am at the home.,I am at school.,At the home.,I am home.,In the farm.,2,15,21
What can you do?,I can jump.,I can play.,I can eat.,I can run.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you!,Thanks a lot!,Thank you very much!,"Thank you, friend!",2,15,17
"Can I have some juice, please?","Yes, please.",Yes.,Okay.,Please.,Here you are.,7,11,22
Hello!,"Hi, friend!","Hello, Benny!",Hi there!,Hello!,Hi!,3,11,22
How are you?,I am happy.,I am great!,I am fine.,I am okay.,I am good.,1,12,23
What is your name?,I'm Lara.,I am Zoe.,I am Lara.,My name is Zoe.,My name is Lara.,1,14,21
Nice to meet you!,Nice to meet you!,Hi!,Thank you!,You too!,Nice to meet you too!,2,15,21
Say goodbye!,Bye-bye!,Good night!,Bye!,See you!,Goodbye!,3,11,22
What color is this?,I see white.,White.,It is green.,It is white.,This is white.,3,10,14
What animal do you see?,I see a crab.,It is a crab.,A fish.,"Look, a crab!",A crab.,5,25,14
Do you like noodle?,I love noodle!,Yes!,"No, I don't like noodle.","Yes, I like noodle.",Yummy!,1,17,11
What do you want to play with?,I like the doll.,"A teddy, please.",Let's play with the doll.,I want the doll.,"The doll, please.",3,10,14
How many do you see?,One toys.,One.,There are one.,I see one.,Four.,2,27,15
Who is this?,This is my mom.,It is my mom.,My mom.,My sister.,This is Ana.,1,13,22
Where are you?,At the home.,I am at school.,I am home.,I am at the home.,In the farm.,2,15,21
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you!,Thanks a lot!,"Thank you, friend!",Thank you very much!,2,15,17
"Can I have some juice, please?",Here you are.,Yes.,Please.,Okay.,"Yes, please.",7,11,22
Hello!,"Hello, Benny!",Hi!,Hi there!,Hello!,"Hi, friend!",2,15,21
How are you?,I am fine.,I am okay.,I am good.,I am happy.,I am great!,3,11,22
What is your name?,I am Sam.,My name is Sam.,I'm Sam.,I am Ken.,My name is Ken.,1,12,23
Nice to meet you!,Thank you!,Nice to meet you!,You too!,Nice to meet you too!,Hi!,1,14,21
Say goodbye!,Bye-bye!,Goodbye!,Good night!,Bye!,See you!,2,15,21
What color is this?,This is blue.,It is blue.,Blue.,It is green.,I see blue.,3,10,14
What animal do you see?,I see a shark.,A fish.,A shark.,It is a shark.,"Look, a shark!",5,25,14
Do you like noodle?,I love noodle!,Yes!,"Yes, I like noodle.",Yummy!,"No, I don't like noodle.",1,17,11
What do you want to play with?,I like the doll.,Let's play with the doll.,"The doll, please.",I want the doll.,"A teddy, please.",3,10,14
How many do you see?,One toys.,I see one.,There are one.,One.,Four.,2,27,15
Who is this?,This is my mom.,It is my mom.,My sister.,This is Luca.,My mom.,1,13,22
Where are you?,At the home.,In the farm.,I am home.,I am at the home.,I am at school.,2,15,21
What can you do?,I can jump.,I can play.,I can run.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks!,"Thank you, friend!",Thank you very much!,Thank you!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Yes.,Here you are.,"Yes, please.",Please.,Okay.,7,11,22
